text_norm,group_key,split
"🔥top-rated💎ailyons self-service high performance home appliance energy efficient dry iron box, ironbox + free gift rechargeable water hand pump dispenser",https://www.kilimall.co.ke/listing/1001482700-TopRatedAILYONS-SelfService-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Water-Hand-Pump-Dispenser,train
"best price for corn c16 pro max 64gb storage +5(2+3extended ) ramunlocked cell phone, android 6.6&quot;hd +waterdrop screen 13mp main camera,8mp front camera 5000mah dual sim, face id, gps, otg smart phone smartphone color-black storage-64gb rom + 5(2+3extended)gb ram 1001200040",https://www.kilimall.co.ke/listing/1001200040-Corn-C16-Pro-Max-64GB-Storage-523Extended-RamUnlocked-Cell-Phone-Android-66HD-WATERDROP-SCREEN-13MP-Main-Camera8mp-Front-camera-5000mAh-Dual-SIM-Face-ID-GPS-OTG-Smart-Phone-Smartphone,test
best price for havit hf610 small home appliances-handheld high speed fan color-black 1001803647,https://www.kilimall.co.ke/listing/1001803647-Havit-HF610-Small-home-appliancesHandheld-high-speed-fan,train
specification contrary from the product itself.. i purchased this phone after carefully going through the specifications said in the description only to find out that all that was described is not there. 1 no fingerprint. 2 no dual camera single camera 5mega pixel,https://www.jumia.co.ke/renewed-samsung-galaxy-a20-android-smartphone-white-32gb3gbsingle-sim-refurbished-by-badili.-306464315.html,test
best price for 【limited offer】 eurochef egt55-3g1e-e 55l home improvement free standing gas cooker 3 gas + 1 hot plate kitchen appliance with electric oven color-silver 2488867,https://www.kilimall.co.ke/listing/2488867-Eurochef-55L-Gas-Cooker-3G1H,train
i like it ????. best battery ????,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-hd-4gb-ram-128gb-rom-dual-sim-50mp-5000mah-comes-with-free-gifts-airpods-smart-watch-powerbank-for-you-grey-297282731.html,test
best price for 60 litres ecomax deep freezerthe ecomax energy-saving chest freezer is a small-sized home appliance that is perfect for storing all your frozen foods. the freezer has a capacity of 60 liters and hence color-silver 1001724804,https://www.kilimall.co.ke/listing/1001724804-60-litres-ecomax-deep-freezerThe-Ecomax-energysaving-chest-freezer-is-a-smallsized-home-appliance-that-is-perfect-for-storing-all-your-frozen-foods-The-freezer-has-a-capacity-of-60-liters-and-hence,test
i love it. it holds phone well and looks beautiful,https://www.jumia.co.ke/desktop-smartphone-holder-foldable-phone-stand-black-generic-mpg416630.html,test
unbeatable watch! durable! genuine! five stars!!!,durable five genuine stars unbeatable watch,train
artel ecomax sonar ramtons tagwood electromate,https://www.kilimall.co.ke/listing/1001008317-Samsung-Galaxy-A16-128GB-Smartphone,train
[tech week] brand new realme note 50 90hz 6.74&quot; 64gb rom + 6(3+3)gb ram 5000mah 13mp al camera unisoc tiger t612 type-c 3-card slot smart phones side fingerprint phone,https://www.kilimall.co.ke/listing/1000192714-realme-Note-50-90Hz-Smartphone,train
"best speaker ever, get yours. highly recommend. don't miss this deal!!!",best deal don't ever get highly miss recommend speaker this yours,train
the phone was amazing with the gifts. the items i ordered was even better to what actually came,https://www.jumia.co.ke/tecno-spark-40-6.67-hd-8gb-ram-128gb-dual-sim-5200mah-grey-free-led-watchearpodspowerbank-323701040.html,test
best price for itel p55 24(8+16)gb ram + 128gb 6.6&quot; 90hz display game phones dual sim 4g network 50mp camera 18w fast charging 5000mah battery fingerprint and face unlock smart phones color-aurora blue storage-128gb+24(8+16)gb 1000418514,https://www.kilimall.co.ke/listing/1000418514-itel-P55-24-816GB-128GB-66-90Hz-Smartphone,test
"i like it. the connectivity to network good, delivery to where i was was fast and checked the phone description during advertising same no foul plays. thanks",https://www.jumia.co.ke/redmi-15c-byxiaomi-6.9-4gb-ram-128gb-dual-sim-6000mah-black-25-months-warranty-325490535.html,test
[tech week] new arrival samsung galaxy a07 128gb+4gb mtk helio g99 6.7&quot; 90hz 50mp dual camera 5000mah 25w type-c charge android 15 smart phones ip54 waterproof side fingerprint phone,https://www.kilimall.co.ke/listing/1001434746-Samsung-Galaxy-A07-128GB-Smartphone,train
unbeatable kettle! deluxe! unique! five stars!!!,deluxe five kettle stars unbeatable unique,val
[new arrivals!!!]itel a90 128gb+12(4+8)gb ram 6.6“ 90hz display phone dual sim 4g network 13mp camera fingerprint unlock 15w 5000 mah battery android 14 octa-core smart phones,https://www.kilimall.co.ke/listing/1001764100-NEW-ARRIVALSItel-A90-128GB1248GB-RAM-66-90HZ-Display-Phone-Dual-SIM-4G-Network-13MP-Camera-Fingerprint-Unlock-15W-5000-mAh-Battery-Android-14-Octacore-Smart-Phones,train
i do don't like it. the charger is not working,https://www.jumia.co.ke/villaon-v120-1.77-1000mah-triple-sim-feature-phone-black-326369869.html,test
"limited time deals!!!! brand new corn c16 pro max 6.6&quot; storage rom 64gb ram 5gb strong battery 5000 mah double sim card smart phone on offer fingerprint face unlock,8mp seilfe 13mp type-c",https://www.kilimall.co.ke/listing/1001582765-CALUS-C16-PRO-MAX-64GB-Smartphone,test
"perfect phone 10/10!!! flawless, powerful, and super fast delivery!!!",and delivery fast flawless perfect phone powerful super,train
[tech week] brand new realme note 50 90hz 6.74&quot; 128gb rom + 8(4+4)gb ram 5000mah 13mp al camera unisoc tiger t612 type-c 3-card slot smart phones side fingerprint phone,https://www.kilimall.co.ke/listing/1000192744-realme-Note-50-90Hz-Smartphone,train
"good. battery is giving me like 3 to 4 days, and also easier to use",https://www.jumia.co.ke/villaon-v110-1.77-1000mah-dual-sim-black-326370555.html,test
"ships from zimmerman , select an address to view delivery times.",https://www.kilimall.co.ke/listing/1001801207-Fridge-TV-Guard13-Amps-Amp-Power-Protection-for-TVs-Refrigerators-and-Home-Appliances,train
"rating high. the product is perfect. deep base,clear sound and can keep charge for along time in use. i recommend potential buyers",https://www.jumia.co.ke/tws-budsair-5-i-deep-bass-with-13.22mm-large-driver-lightweight-half-in-ear-design-32-hours-playtime-ai-translations-iew-50-black-itel-mpg9977072.html,test
best price for ailyons 16-inch wall fan.,https://www.kilimall.co.ke/listing/1001646722-Ailyons-16inch-Wall-Fan,train
amazing bag!!! highly recommend and click now! buy now and thank me later!!!,amazing and bag buy click highly later now recommend thank,train
"brand new chuwi laptop corebook i3 10th ultrabook: (kama i7 7th), 8gb+256gb ssd, 14&quot; full hd ultrabook with long battery life &amp; win 11 system wifi6 bluetooth 5.2",https://www.kilimall.co.ke/listing/1001567710-CHUWI-Corebook-i3-10th-14-FHD-Laptop,train
"perfect speaker 10/10!!! durable, limited stock, and super fast delivery!!!",and delivery durable fast limited perfect speaker stock super,test
"meets expectation. though it overheats, maybe you can improve on their os",https://www.jumia.co.ke/c1-tabletdual-sim8-inch-633gb-ram-64gb-rom-android14-4000mah-batterygray-redbeat-mpg8920967.html,test
"size, volume &amp; clarity of voice. easy to carry around (not too big) has a big volume &amp; bass tone makes the music sound just amazing ????",https://www.jumia.co.ke/oraimo-spacebox-wireless-bluetooth-speaker-portable-8w-fm-grey-317633439.html,test
"perfect watch 10/10!!! best buy, perfect, and super fast delivery!!!",and best buy delivery fast perfect super watch,train
"best price for ailyons electric kettle + free 4-way extension cable – coil-less water heater &amp; boiler jug, fast boil, stainless steel, durable &amp; convenient home appliance set color-silver 1001537186",https://www.kilimall.co.ke/listing/1001537186-AILYONS-Electric-Kettle-Stainless-Steel,train
best price for refurbished apple macbook pro 13&quot; core i5 2.4ghz 8gb ram 500gb hdd (mid 2012) macos laptop silver + bag color-silver 1001258085,https://www.kilimall.co.ke/listing/1001258085-Refurbished-Apple-MacBook-Pro-13-Core-i5-24GHz-8GB-RAM-500GB-HDD-Mid-2012-MacOS-Laptop-Silver-Bag,test
⭐ mega offer ⭐ – 1 pc smartpro 180l chest freezer deep freezer energy saving durable home appliance,https://www.kilimall.co.ke/listing/1001811009-MEGA-OFFER-1-PC-Smartpro-180L-Chest-Freezer-Deep-Freezer-Energy-Saving-Durable-Home-Appliance,train
"best fridge ever, no risk. best buy. don't miss this deal!!!",best buy deal don't ever fridge miss risk this,train
best price for [tech week] brand new realme note 50 90hz 6.74&quot; 64gb rom + 6(3+3)gb ram 5000mah 13mp al camera unisoc tiger t612 type-c 3-card slot smart phones side fingerprint phone color-sky blue storage-64gb + 6(3+3)gb 1000192714,https://www.kilimall.co.ke/listing/1000192714-realme-Note-50-90Hz-Smartphone,train
this fridge changed my life!!! 100% recommend. buy now. order today!!!,100 buy changed fridge life now order recommend this today,train
perfect. the colours are good and everything so far is amazing ????,https://www.jumia.co.ke/tv-32-inches-qled-smart-tv-frameless-bluetooth-android14-wifi-digital-netflix-youtube-prime-32-television-1-year-warranty-new-launch-price-wall-mount-free-gift-itel-mpg9993922.html,test
how to apply aftersale/ refund,https://www.kilimall.co.ke/listing/1000100017-Euroken-Euro6531EE-Standing-Gas-Cooker,train
"corn c16 pro max 64gb storage +5(2+3extended ) ramunlocked cell phone, android 6.6&quot;hd +waterdrop screen 13mp main camera,8mp front camera 5000mah dual sim, face id, gps, otg smart phone smartphone",https://www.kilimall.co.ke/listing/1001200040-Corn-C16-Pro-Max-64GB-Storage-523Extended-RamUnlocked-Cell-Phone-Android-66HD-WATERDROP-SCREEN-13MP-Main-Camera8mp-Front-camera-5000mAh-Dual-SIM-Face-ID-GPS-OTG-Smart-Phone-Smartphone,test
best price for [tech week] brand new samsung galaxy a06 64gb+4gb 50mp camera 6.7&quot; 90hz mtk helio g85 (12nm) 5000mah 25w type-c charge android 14 smart phones phone color-black storage-64gb+4gb 3054740,https://www.kilimall.co.ke/listing/3054740-Samsung-Galaxy-A05-64GB-50MP-Camera,train
"ailyons high performance home appliance energy efficient dry iron box, ironbox + free gift rechargeable dining table water hand pump dispenser.1000w",https://www.kilimall.co.ke/listing/1001415714-AILYONS-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Dining-Table-Water-Hand-Pump-Dispenser1000WCompact-designNonstick-soleplateOverheating-prot,train
"lovely!. a good wearable device, beautiful look. battery lasts long. product has nice features and functions well. great value!",https://www.jumia.co.ke/itel-smartwatch-edge-r1-pro-043-1.43-super-amoled-display-5-minute-charge-24-hour-usageip68-waterproof-308793532.html,test
i like it. it's a nice product in love with it,https://www.jumia.co.ke/xiaomi-redmi-15-4g-6gb-ram-128gb-7000mah-grey-25-months-warranty.-325670447.html,test
offer offer!!!!! refurbished hp probook 840 i5+8gb+500gb 1-2ghz processor windows 11 bluetooth refurbished laptop notebook computer laptops,https://www.kilimall.co.ke/listing/1001696311-OFFER-OFFER-Refurbished-HP-Probook-840-i58GB500GB-12GHz-processor-Windows-11-Bluetooth-Refurbished-Laptop-Notebook-Computer-Laptops,train
"low power storage, bad for calls. the neck band is okay but it doesn't store power for long. it can't get to used for more than an hour. it powers off and we have to charge for more than five times a day",https://www.jumia.co.ke/generic-g03-neckband-wireless-bluetooth-in-ear-sports-earphone-headset-169371598.html,test
unbeatable laptop! amazing! premium quality! five stars!!!,amazing five laptop premium quality stars unbeatable,train
64gb rom + 5(2+3extended)gb ram,https://www.kilimall.co.ke/listing/1001200040-Corn-C16-Pro-Max-64GB-Storage-523Extended-RamUnlocked-Cell-Phone-Android-66HD-WATERDROP-SCREEN-13MP-Main-Camera8mp-Front-camera-5000mAh-Dual-SIM-Face-ID-GPS-OTG-Smart-Phone-Smartphone,test
best price for scarlett steam iron box + free 2l automatic electric kettle | home appliance combo offer ironbox water heater jug fast heating &amp; auto shut-off color-silver 2411567,https://www.kilimall.co.ke/listing/2411567-Scarlett-Steam-Iron-2L-Electric-Kettle,test
not able to charge phone.with the type c port. add outlet charging port for c to c charging cables since the current one only charges the power bank instead of the phone,https://www.jumia.co.ke/vic-20000mah-power-banks-portable-charger-ultra-light-battery-pack-black-247696732.html,test
good. light weight and serves the purpose,https://www.jumia.co.ke/villaon-v5606-1.77-1000mah-feature-phone-dual-sim-black-326370531.html,test
"best kettle ever, act fast. 5 star. don't miss this deal!!!",act best deal don't ever fast kettle miss star this,train
this earbuds changed my life!!! dont miss. while supplies last. order today!!!,changed dont earbuds last life miss order supplies this today while,train
i like it. it works well,https://www.jumia.co.ke/tws-budsair-5-i-deep-bass-with-13.22mm-large-driver-lightweight-half-in-ear-design-32-hours-playtime-ai-translations-iew-50-black-itel-mpg9977072.html,test
amazing shoe!!! click here and perfect gift! buy now and thank me later!!!,amazing and buy click gift here later now perfect shoe thank,train
bad. the worst. failed after only 2 days of use,https://www.jumia.co.ke/tws-budsair-5-e-subtle-shine-sleek-curves-rich-deep-bass-sound-39-hours-long-playtime-3.5g-lightweight-in-ear-design-portable-with-a-lanyard-black-itel-mpg9975767.html,test
pods. they are awesome ????,https://www.jumia.co.ke/oraimo-spacebuds-lite-deep-bass-clear-calls-and-immersive-360-sound-40-hr-playtime-true-wireless-earbuds-black-325461606.html,test
"best price for 🎇silver crest commercial heavy duty blender 2in1 6500watts double jug with grinding machine or grinder🦋silvercrest offers affordable‎‎,‎‎ quality‎‎,‎‎ energy‎‎-efficient home appliances ‎‎for variou color-as pictured size-2l 1001538284",https://www.kilimall.co.ke/listing/1001538284-SILVER-CREST-6500W-Heavy-Duty-Blender-2in1,train
amazing blender!!! best ever and buy it now! buy now and thank me later!!!,amazing and best blender buy ever later now thank,val
volume. it's a good quality,https://www.jumia.co.ke/oraimo-necklace-lite-wireless-headphones-call-vibration-30hr-playtime-black-312418741.html,test
"i like it. nice bass, quality guaranteed from thus store????????",https://www.jumia.co.ke/oraimo-boompop-lite-enc-over-ear-wireless-headphones-black-312876048.html,test
"best phone ever, perfect gift. unique. don't miss this deal!!!",best deal don't ever gift miss perfect phone this unique,val
"best price for ailyons 2 l electric kettle + free 4 way socket extension cable – coil-less water heater &amp; boiler jug, fast boil, stainless steel, durable &amp; convenient home appliance set power king ailyon color-silver 1001790001",https://www.kilimall.co.ke/listing/1001790001-AILYONS-2-L-Electric-Kettle-FREE-4-WAY-SOCKET-EXTENSION-CABLE-CoilLess-Water-Heater-Boiler-Jug-Fast-Boil-Stainless-Steel-Durable-Convenient-Home-Appliance-Set-Power-King-Ailyon,train
rashnik single hot plate electric cooker is home for quality and durable home appliances. our products are made from high quality materials that guarantee durability of our products.this porta,https://www.kilimall.co.ke/listing/1001767526-Rashnik-single-hot-plate-electric-cooker-is-home-for-quality-and-durable-home-appliances-Our-products-are-made-from-high-quality-materials-that-guarantee-durability-of-our-productsThis-porta,train
i like it. nice phone for a change,https://www.jumia.co.ke/samsung-galaxy-a17-4g-6.7-4gb-ram-128gb-dual-sim-5000mah-black-2yrs-wrty-326942489.html,test
best price for baby phone toy music sound telephone sleeping toys with teether simulation phone kids infant early educational learning toy birthday gift color-pink 1001605830,https://www.kilimall.co.ke/listing/10004787655-Baby-Phone-Toy-Music-Sound-Telephone-Sleeping-Toys-With-Teether-Simulation-Phone-Kids-Infant-Early-Educational-Learning-Toy-Birthday-Gift-Pink,train
new mute touch mopping robot wireless sweeping wet and dry all-in-one cleaning machine smart home appliance vacuum cleaner,https://www.kilimall.co.ke/listing/2483968-New-Mute-Touch-Mopping-Robot-Wireless-Sweeping-Wet-And-Dry-AllInOne-Cleaning-Machine-Smart-Home-Appliance-Vacuum-Cleaner,test
it is finee. as advertised. it works perfectly,https://www.jumia.co.ke/oraimo-boompop-lite-enc-over-ear-wireless-headphones-black-312876048.html,test
dell latitude 3190 x360 touchscreen intel pentium 4gb ram 128gb ssd 12 inch screen size refurbished laptop with windows 10 pro and microsoft office installed computer notebook techno supreme suppliers,https://www.kilimall.co.ke/listing/1001687001-Dell-Latitude-3190-x360-Touchscreen-Intel-Pentium-4GB-RAM-128GB-SSD-12-Inch-Screen-Size-Refurbished-Laptop-With-Windows-10-Pro-and-Microsoft-Office-Installed-Computer-Notebook-Techno-Supreme-Suppliers,val
touchscreen refurbished dell latitude 3390 x360 2-in-1 laptop intel core i5 8th gen 8gb ram 256gb ssd 13.3 inches fhd display refurbished laptop computer notebook,https://www.kilimall.co.ke/listing/1001712034-Touchscreen-Refurbished-Dell-Latitude-3390-X360-2in1-Laptop-Intel-Core-i5-8th-Gen-8GB-RAM-256GB-SSD-133-Inches-FHD-Display-Refurbished-Laptop-Computer-Notebook,train
good product. good as expected,https://www.jumia.co.ke/desktop-smartphone-holder-foldable-phone-stand-black-generic-mpg416630.html,test
best price for hp probook 440 g4 laptop | intel core i3 7th generation | 4gb ddr4 ram | 128gb ssd storage | 14 inch hd display | refurbished laptop | windows 10 professional | lightweight business notebook color-grey and black 1001514979,https://www.kilimall.co.ke/listing/1001514979-HP-ProBook-440-G3-Ultrabook,train
the phone is awesome. it's generally good. i recommend,https://www.jumia.co.ke/redmi-15c-byxiaomi-6.9-4gb-ram-128gb-6000mah-dual-sim-1-year-warranty-black-ledwatchearpodscablecardreaderpowerbank-325233796.html,test
long lasting battery. poor camera,https://www.jumia.co.ke/koruima-k2402-button-phones-2.4-1800mah-5v-1a-type-c-charger-big-battery-dual-sim-feature-phones-black-325452530.html,test
as advertised. fast charging. good quality. like how the magnetic effect works when i’m wrapping it to put it away. love the product,https://www.jumia.co.ke/oraimo-magcable-cable-de-donnees-type-c-vers-type-c-1m-60w-309766023.html,test
"perfect bag 10/10!!! high grade, amazing, and super fast delivery!!!",amazing and bag delivery fast grade high perfect super,train
"best shoe ever, approved. 100% recommend. don't miss this deal!!!",100 approved best deal don't ever miss recommend shoe this,val
[new arrivals] m-horse camon 40 pro+ 128gb + 8gb (4+4gb) ram 6.8&quot; 16mp selfie 32mp rear camera 5000mah battery type-c dual sim 4g side fingerprint ip64 smart phones + free gifts just for you,https://www.kilimall.co.ke/listing/1001771873-New-Arrivals-MHORSE-CAMON-40-PRO-128GB-8GB-44GB-RAM-68-16MP-Selfie-32MP-REAR-CAMERA-5000mAh-Battery-TypeC-Dual-SIM-4G-Side-Fingerprint-IP64-Smart-Phones-FREE-GIFTS-JUST-FOR-YOU,train
"best price for ailyons high performance home appliance energy efficient dry iron box, ironbox + free gift rechargeable dining table water hand pump dispenser.1000w",https://www.kilimall.co.ke/listing/1001415714-AILYONS-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Dining-Table-Water-Hand-Pump-Dispenser1000WCompact-designNonstick-soleplateOverheating-prot,train
awesomeness. as expected,https://www.jumia.co.ke/samsung-galaxy-a06-6.7-4gb-ram-64gb-dual-sim-5000mah-black-1yr-wrty-299889399.html,test
"fake, not worth it. this tablet is a fake, it is definitely not running android 12, it is running a fake version of android that spoofs it as 12. it is slow, non responsive and cannot run some apps because it is probably at android5 or 6. i would certainly not! reccomend that anyone spends money on this",https://www.jumia.co.ke/c-idea-10.1-inch-android-tablet-pc-12-dual-camera-sim-8gb-ram-512gb-bluetooth-fntastic-green-178014578.html,test
"limited time deal!! corn mega 100 max 6.67&quot;hd 64gb rom, 5(2+3)gb ram 5000mah dual sim card smart phone side fingerprint face unlock, 3g network13mp ultra camera 8mp selfie-smartphone+freegift",https://www.kilimall.co.ke/listing/1001744385-LIMITED-TIME-DEAL-CORN-MEGA-100-MAX-667HD-64GB-ROM-523GB-RAM-5000mAh-DUAL-SIM-CARD-SMART-PHONE-SIDE-FINGERPRINT-FACE-UNLOCK-3G-NETWORK13MP-ULTRA-CAMERA-8MP-SELFIESMARTPHONEFREEGIFT,train
"perfect speaker 10/10!!! luxury, buy now, and super fast delivery!!!",and buy delivery fast luxury now perfect speaker super,train
good quality. price tag is not worth it but serves the purpose,https://www.jumia.co.ke/itel-fast-wall-charger-type-c-a.i-smart-features-icw-204u-325222948.html,test
best price for {free mouse } hp elitebook 8460p core i5 8gb ram 500gb hdd 4th generation refurbished laptop 14&quot; inch windows 10 pro plus + free mouse laptops computer pc notebook color-gray 3041415,https://www.kilimall.co.ke/listing/3041415-Dell-EliteBook-8460p-Laptop,train
best price for tecno spark 40 ai 128gb + 8gb(4+4) 6.67&#x27;&#x27; screen 50mp main camera 8mp front camera 45w super charging fingerprint infrared remote control free cover ip64 waterproof smart phones color-titanium grey storage-128gb+ 8(4+4 )gb 1001347735,https://www.kilimall.co.ke/listing/1001347735-TECNO-Spark-40-AI-Smartphone,train
best price for vestwoods lithium battery by haier,https://www.kilimall.co.ke/listing/1001663098-Haier-Vestwoods-Lithium-Battery-for-Home-Appliances,train
amazing speaker!!! top rated and shop now! buy now and thank me later!!!,amazing and buy later now rated shop speaker thank top,train
"best kettle ever, hot deal. must have. don't miss this deal!!!",best deal don't ever have hot kettle miss must this,train
i like it. it's of it's best product.... i doesn't consume power and powerful voice,https://www.jumia.co.ke/richripple-m10-led-display-bluetooth-headsets-9d-stereo-wireless-earphones-black-179381044.html,test
"best laptop ever, must-have. game-changer. don't miss this deal!!!",best changer deal don't ever game have laptop miss must this,train
⚡ protect your tv &amp; fridge today! 13a surge guard – voltage protection for home appliances 🛡🔌,https://www.kilimall.co.ke/listing/1001815702-Protect-Your-TV-Fridge-Today-13A-Surge-Guard-Voltage-Protection-for-Home-Appliances,train
【limited offer】 euroken euro65-3+1e-e 60l home improvement free standing cooker 3 gas +1 hotplate kitchen appliance with electric oven - 60x65cm,https://www.kilimall.co.ke/listing/1000100017-Euroken-Euro6531EE-Standing-Gas-Cooker,train
best price for infinix hot 60i 256gb+16(8+8)gb 6.7&quot; 120hz 4g slim phone dual sim 5160mah 45w fast charging 50mp camera fingerprint lock ip64 gyroscope g81 ultimate one-tap ai smart phones color-sleek black storage-8gb+256gb 1001361489,https://www.kilimall.co.ke/listing/1001361489-Infinix-Hot-60i-256GB-Smartphone,train
super bass. it keeps power for long and also charges very fast. i would recommend to anyone. thanks jumia ????,https://www.jumia.co.ke/richripple-m10-led-display-bluetooth-headsets-9d-stereo-wireless-earphones-black-179381044.html,test
nice one. it's working well,https://www.jumia.co.ke/bensoo-f9-bluetooth-headsets-wireless-earphones-earbuds-ear-325148603.html,test
"🎇silver crest commercial heavy duty blender 2in1 6500watts double jug with grinding machine or grinder🦋silvercrest offers affordable‎‎,‎‎ quality‎‎,‎‎ energy‎‎-efficient home appliances ‎‎for variou",https://www.kilimall.co.ke/listing/1001538284-SILVER-CREST-6500W-Heavy-Duty-Blender-2in1,train
unbeatable blender! buy now! game-changer! five stars!!!,blender buy changer five game now stars unbeatable,train
special offer refurbished lenovo thinkpad t470s laptop intel core i5 7th gen 8gb ram 256gb ssd 14&#39;&#39; inch refurbished laptops windows 10 pro and microsoft office installed computer notebook,https://www.kilimall.co.ke/listing/1001712071-Special-Offer-Refurbished-Lenovo-ThinkPad-T470s-Laptop-Intel-Core-i5-7th-Gen-8GB-RAM-256GB-SSD-14-Inch-Refurbished-Laptops-Windows-10-pro-and-Microsoft-Office-Installed-Computer-Notebook,train
best price for 💥 hot offer 💥 – 1 pc smartpro 180l chest deep freezer energy saving durable home appliance color-as pictured 1001811025,https://www.kilimall.co.ke/listing/1001811025-HOT-OFFER-1-PC-Smartpro-180L-Chest-Deep-Freezer-Energy-Saving-Durable-Home-Appliance,train
amazing phone!!! special and superior! buy now and thank me later!!!,amazing and buy later now phone special superior thank,train
"best phone ever, genuine. special offer. don't miss this deal!!!",best deal don't ever genuine miss offer phone special this,train
best price for offer offer!!!!! refurbished hp probook 840 i5+8gb+500gb 1-2ghz processor windows 11 bluetooth refurbished laptop notebook computer laptops color-black 1001696311,https://www.kilimall.co.ke/listing/1001696311-OFFER-OFFER-Refurbished-HP-Probook-840-i58GB500GB-12GHz-processor-Windows-11-Bluetooth-Refurbished-Laptop-Notebook-Computer-Laptops,train
* solar backup &amp; inverters color-gray size-vestwoods lithium battery by haier 1001663098,https://www.kilimall.co.ke/listing/1001663098-Haier-Vestwoods-Lithium-Battery-for-Home-Appliances,train
good. ni vile inapoteza network but it's good,https://www.jumia.co.ke/villaon-v120-1.77-1000mah-triple-sim-feature-phone-black-326369869.html,test
"ships from dagoretti south , select an address to view delivery times.",https://www.kilimall.co.ke/listing/1000100017-Euroken-Euro6531EE-Standing-Gas-Cooker,train
"perfect kettle 10/10!!! life changing, strongly recommend, and super fast delivery!!!",and changing delivery fast kettle life perfect recommend strongly super,train
"p 840 g3 laptop, core i5 6th gen laptop, hp business laptop, student laptop, office laptop, refurbished hp laptop, 8gb ram laptop, 256gb ssd laptop, windows 11 pro laptop, affordable laptop kenya",https://www.kilimall.co.ke/listing/1001713236-P-840-G3-laptop-Core-i5-6th-Gen-laptop-HP-business-laptop-student-laptop-office-laptop-refurbished-HP-laptop-8GB-RAM-laptop-256GB-SSD-laptop-Windows-11-Pro-laptop-affordable-laptop-Kenya,train
best price for ⚡ flash offer ⚡ – 1pc premier 90l single door refrigerator energy saving compact fridge freezer low noise durable home appliance color-as pictured 1001810993,https://www.kilimall.co.ke/listing/1001810993-FLASH-OFFER-1PC-Premier-90L-Single-Door-Refrigerator-Energy-Saving-Compact-Fridge-Freezer-Low-Noise-Durable-Home-Appliance,val
nice phone. it's a good phone,https://www.jumia.co.ke/redmi-15c-byxiaomi-6.9-4gb-ram-128gb-dual-sim-6000mah-black-25-months-warranty-325490535.html,test
"anti-lost feature and battery life.. works perfectly, retains charge and got some good bass",https://www.jumia.co.ke/oraimo-spacebuds-lite-true-wireless-earbuds-sound360-anti-lost-black-325602719.html,test
"a nice gadget.. decent battery life. nice display,",https://www.jumia.co.ke/infinix-smart-10-6.67-4gb-ram-64gb-dual-sim-5000-mah-4g-black-1yr-wrty-325385282.html,test
